Gekkeikan Sake,90,120,Sake,14.60%,750,,122
Dewatsuru Choinama,64,213.33,Sake,13.80%,300,,065
Akita Fuji Nigori,80,266.67,Sake,14.50%,300,,054
Masumi Karakuchi Ki-ippon,91,303.33,Sake,15.00%,300,,049
Matsukura,95,316.67,Sake,15.00%,300,,047
