Gammel Dansk,261,372.86,Bitter,38.00%,700,,102
Gammel Dansk,150,428.57,Bitter,38.00%,350,,089
Fernet-Branca,221,442,Bitter,39.00%,500,,088
Underberg,47,783.33,Bitter,44.00%,60,,056
Angostura,180,900,Bitter,44.70%,200,,050
Angostura Orange,111,1110,Bitter,28.00%,100,,025
